,Exhibitor,Address,City,Zip,Tel,Country,email,About,Key Words,Logo,WebSite,Hall,Stand
0,2N Telekomunikace a.s.,Modranska 621/72,Prague 4,14301,+420 225271500,Czech Republic,sales@2n.com,"2N is the global leader in IP access control systems.2N has been in the vanguard of innovation in the sector, developing...","['Biometrics', 'multi-technology reader', 'Access control', 'IP intercoms', 'smart building']",https://exhibitorsearch.messefrankfurt.com/images/medium/company_pictures/10000016202201/0015013421/RGB_JPG_AAN.jpg,www.2n.com,11.1,D10
1,3B Profiles S.r.l.,Via della Fontana 6,Casciago,21020,+39 03321610520,Italy,info@3bpro.com,3B Profiles is a leading player operating in multiple international markets thanks to its innovative knowledge in the extrusion...,"['Plastic Diffusers', 'Polycarbonate PMMA', 'Optics Lenses', 'Led Lighting Profiles', 'Electrified tracks ']",https://exhibitorsearch.messefrankfurt.com/images/medium/company_pictures/10000016202201/0052377472/RGB_JPG_3B.jpg,www.3bpro.com,8.0,A45
2,3Brothers for Engineering and Electrical Manufacturing,"21 El Mahed El Eshtraki, Heliopolis",Cairo,,+20 1005558026,Egypt,ahmed.reda@3-brothers.com,3Brothers is considered to be one of the greatest specialized companies in the field of lighting units manufacturing all...,"['3Brothers', 'Lighting', 'LED Lighting', 'Outdoor Lighting', 'Street Lighting']",https://exhibitorsearch.messefrankfurt.com/images/medium/mics/migration_feria/20009393.jpg,www.3-brothers.com,4.1,J10
3,ABB AG,Kallstadter Str. 1,Mannheim,68309,+49 62143810,Germany,contact.center@de.abb.com,"	ABB is a pioneering technology leader that works closely with utilities, industry, transportation and infrastructure customers...",[],,https://new.abb.com/de,12.0,A51
4,ABB E-mobility GmbH,Kallstadter Str. 1,Mannheim,68309,,Germany,,,[],,,12.0,A51
5,ABB Stotz - Kontakt GmbH,Eppelheimer Str. 82,Heidelberg,69123,+49 622170118190,Germany,info.stotz@de.abb.com,"ABB STOTZ-KONTAKT GmbH develops, manufactures and sells products for the electrical equipment and automation of buildings...","['Planer', 'Elektroinstallation', 'Schaltanlagenbau', 'Elektrogro&szlig;handel', 'Maschinenbau']",https://exhibitorsearch.messefrankfurt.com/images/medium/mics/migration_feria/20009219.jpg,www.new.abb.com/low-voltage/products/building-automation,9.1,C25
6,ABB STRIEBEL &amp; JOHN GmbH,Am Fuchsgraben 2-3,Sasbach,77880,+49 78416090,Germany,info.desuji@de.abb.com,	We are a leading manufacturer of electrical distribution systems and see ourselves as a partner to the electrical trade...,"['Stromkreisverteiler', 'Kleinverteiler', 'Standschrank', 'Wandschrank', 'Z&auml;hlerschrank']",https://exhibitorsearch.messefrankfurt.com/images/medium/mics/migration_feria/07297035.jpg,www.striebelundjohn.com,9.1,C25
7,ABL GmbH,Albert-Büttner-Straße 11,Lauf,91207,+49 91231880,Germany,info@abl.de,ABL is one of the pioneers in electric mobility. The independent family-owned company produces wallboxes and charging poles...,"['Elektromobilit&auml;t', 'Ladestation', 'Wallbox', 'eMobility', 'Eichrecht', 'Schuko', 'Steckvorrichtung', 'Steckerkombinationen', 'Stecker', 'Einbausteckdosen', 'Abrechnung', 'Lades&auml;ule', 'Ladepark']",https://exhibitorsearch.messefrankfurt.com/images/medium/company_pictures/10000016202201/0010367220/RGB_JPG_ABL.jpg,www.abl.de,12.0,E81
8,ABLE Power Products Inc.,8618 Phoenix Drive,Manassas,20110,+1 7036874057,United States,clay@pspproducts.com,ABLE Power Products designs and manufacturers surge protection and over/under voltage cutoff devices for LED lighting applications...,"['surge protection', 'over voltage', 'under voltage', 'smart cities', 'LED lighting']",,www.AblePowerProducts.com,8.0,G60
9,ABN GmbH,Daimlerstr. 10-12,Neuenstadt am Kocher,74196,+49 7139940,Germany,de-abn-zentrale@se.com,,[],,www.abn-electro.com,11.1,D56
